French,English
seulement,only
police,police
aide,help
genre,kind
mois,month
car,because
mettre,to put
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
écoute,listen
dont,whose
trouve,find
main,hand
première,first
pouvoir,power
matin,morning
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
chambre,bedroom
belle,beautiful
aimerais,would like to
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
